folder,source_folder,id,display_name,source_name,description,type,domain,units
Lifestyle and Behavioural Health,intake_dad,internetwork_f_int,Internet access at work - Father,Do you have internet access at work?,,choices,internetwork_f_int_,
Lifestyle and Behavioural Health,intake_dad,mildex_f_int,Frequency of mild exercise in the past 4 weeks - Father,"MILD EXERCISE (MINIMAL EFFORT)  (e.g., yoga, archery, fishing from river bank, bowling, horseshoes, golf, snow-mobiling, easy walking)",,choices,mildex_f_int_,
Lifestyle and Behavioural Health,intake_dad,modex_f_int,Average frequency of eating something from a fast food restaurant over the last 4 weeks - Father,"MODERATE EXERCISE (NOT EXHAUSTING) (e.g., fast walking, baseball, tennis, easy bicycling, volleyball, badminton, easy swimming, alpine skiing, popular and folk dancing)",,choices,modex_f_int_,
Demographics/Employment,intake_dad,parentleave_f_int,"If employed full or part-time, are you taking parental leave? - Father","If you are employed full or part-time, are you taking parental leave?",,choices,parentleave_f_int_,
Demographics/Acculturation,intake_dad,preflang_f_int,Preferred language - Father,What is your preferred language?,,choices,preflang_f_int_,
Demographics,intake_dad,race_dad,Father's race recategorized using race and ethnicity questions.,Father's race recategorized using race and ethnicity questions.,,choices,race_dad_,
Sleep Questionnaires/Sleep Habits,intake_dad,sleepwkday_f_int,"Average hours of sleep per night on weekends or non-workdays, over the last 4 weeks - Father","Thinking back on the LAST 4 WEEKS, about how many hours of sleep per night did you usually get on weekdays or workdays?   Note: The last 4 weeks refers to the 4 weeks prior to your baby being born",,choices,sleepwkday_f_int_,
Sleep Questionnaires/Sleep Habits,intake_dad,sleepwknd_f_int,"Average hours of sleep per night on weekdays or workdays, over the last 4 weeks - Father","Thinking back on the LAST 4 WEEKS, about how many hours of sleep per night did you usually get on weekends or days off?   Note: The last 4 weeks refers to the 4 weeks prior to your baby being born",,choices,sleepwknd_f_int_,
Lifestyle and Behavioural Health,intake_dad,smartphonedata_f_int,Smartphone ownership with data plan - Father,Do you own a smartphone with a data plan?,,choices,smartphonedata_f_int_,
Lifestyle and Behavioural Health,intake_dad,smokecigs_f_int,Currently smokes cigarettes - Father,Do you currently smoke cigarettes?,,choices,smokecigs_f_int_,
Lifestyle and Behavioural Health,intake_dad,strenex_f_int,"Average frequency of eating doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake, excluding sugar-free items, over the last 4 weeks - Father","STRENUOUS EXERCISE (HEART BEATS RAPIDLY) (e.g., running, jogging, hockey, football, soccer, squash, basketball, cross country skiing, judo, roller skating, vigorous swimming, vigorous long distance bicycling)",,choices,strenex_f_int_,
Demographics/Employment,intake_dad,wkparentleave_f_int,Weeks of parental leave - Father,How many WEEKS? (between 0 and 52),,numeric,,weeks
Anthropometry,intake_dad,wt_f_int,Weight in pounds - Father,What is your weight (in pounds)?  Note: Please enter a 2-3 digit number.  Example: 210,,numeric,,pounds
Lifestyle and Behavioural Health,intake_main,brstmlktry_mom_int,Tried breastfeeding - Mother,"Have you tried breastfeeding your baby? By breastfeeding, we mean that you have put your baby to your breast, whether or not your baby actually received breast milk, or that you have fed your baby your breast milk.",,choices,brstmlktry_mom_int_,
Lifestyle and Behavioural Health,intake_main,caffne_mom_int,Average frequency of drinking iced or hot coffee or tea that contained caffeine in the past 4 weeks (excluding decaffeinated coffee or tea) - Mother,"In the past 4 weeks, on average, how often did you drink iced or hot coffee or tea that contained caffeine? Do not include decaffeinated coffee or tea.",,choices,caffne_mom_int_,
Demographics/Education,intake_main,edu_mom_int,Highest level of education completed - Mother,What is the highest level of education you completed?,,choices,edu_mom_int_,
Lifestyle and Behavioural Health,intake_main,energy_mom_int,"Average frequency of drinking energy drinks such as Red Bull, Monster, or Rockstar in the past 4 weeks - Mother","In the past 4 weeks, on average, how often did you drink energy drinks such as Red Bull, Monster, or Rockstar?",,choices,energy_mom_int_,
Lifestyle and Behavioural Health,intake_main,ffconsum_mom_int,"Average frequency of eating something from a fast food restaurant in the past 4 weeks (e.g., McDonald's, Burger King, Taco Bell) - Mother","In the past 4 weeks, on average, how often did you eat something from a fast food restaurant? Examples: McDonald's, Burger King, Taco Bell",,choices,ffconsum_mom_int_,
Lifestyle and Behavioural Health,intake_main,fish_mom_int,Average frequency of eating fish (excluding shellfish and breaded fish pieces) in the past 4 weeks - Mother,"In the past 4 weeks, on average, how often did you eat fish (excluding shellfish and breaded fish pieces)?",,choices,fish_mom_int_,
Lifestyle and Behavioural Health,intake_main,formulatry_mom_int,Baby received any formula,Has your baby received any formula?,,choices,formulatry_mom_int_,
Lifestyle and Behavioural Health,intake_main,fruit_mom_int,"Average frequency of eating fruit (including fresh, frozen, or canned fruit) in the past 4 weeks (excluding fruit juice or dried fruits) - Mother","In the past 4 weeks, on average, how often did you eat fruit (including fresh, frozen or canned fruit)?  Do not include fruit juice or dried fruits.",,choices,fruit_mom_int_,
General Health/Reproductive Health,intake_main,howlongbrstfd_mom_int,Planned duration of breastfeeding baby (in months),How long do you plan to breastfeed your baby? (in month),,numeric,,months
Demographics/Employment,intake_main,income_mom_int,"Household annual income (including money from all sources such as salaries, tips, Social Security, Transitional Alcohol and Drug-Free Community (TADFC), retirement, and any other kind of income)","What is your household annual income? Please include money from all sources such as salaries, tips, Social Security, Transitional Alcohol and Drug Free Community (TADFC), retirement, and any other kind of income.",,choices,income_mom_int_,
Lifestyle and Behavioural Health,intake_main,juice_mom_int,"Average frequency of drinking 100% pure fruit juices (e.g., orange, mango, apple, grape, and pineapple juices) in the past 4 weeks (excluding punch, Kool-Aid, Tampico, sports drinks, or Goya juice) - Mother","In the past 4 weeks, on average, how often did you drink 100% pure fruit juices such as orange, mango, apple, grape and pineapple juices? Do not count punch, Kool-Aid, Tampico, sports drinks, or Goya juice.",,choices,juice_mom_int_,
Lifestyle and Behavioural Health,intake_main,milktype1wk_mom_int,Kind of milk planned to feed baby in the next week - Mother,What kind of milk do you plan to feed your baby in the next week ?,,choices,milktype1wk_mom_int_,
Lifestyle and Behavioural Health,intake_main,milktype3mo_mom_int,Kind of milk planned to feed baby at 3 months of age - Mother,What kind of milk do you plan to feed your baby  at 3 months  of age?,,choices,milktype3mo_mom_int_,
Demographics/Acculturation,intake_main,preflang_mom_int,Preferred language - Mother,What is your preferred language?,,choices,preflang_mom_int_,
Lifestyle and Behavioural Health,intake_main,procmeat_mom_int,"Average frequency of eating processed meat, such as bacon, lunch meats, or hot dogs, in the past 4 weeks (including processed meats in sandwiches, soups, pizza, casseroles, and other mixtures) - Mother","In the past 4 weeks, on average, how often did you eat any processed meat, such as bacon, lunch meats, or hot dogs? Include processed meats you had in sandwiches, soups, pizza, casseroles, and other mixtures. Processed meats are those preserved by smoking",,choices,procmeat_mom_int_,
Lifestyle and Behavioural Health,intake_main,punch_mom_int,"Average frequency of drinking punch, sweetened fruit drinks, sports drinks, Kool-Aid, Tampico, lemonade, Hi-C, cranberry drink, Goya, or Vitamin Water in the past 4 weeks (excluding 100% fruit juice or diet drinks) - Mother","In the past 4 weeks, on average, how often did you drink punch, sweetened fruit drinks, sports drinks, Kool-Aid, Tampico, lemonade, Hi-C, cranberry drink, Goya, or Vitamin Water? Do not include 100% fruit juice or diet drinks.",,choices,punch_mom_int_,
Demographics,intake_main,race_mom,Mother's race recategorized using race and ethnicity questions,Mother's race recategorized using race and ethnicity questions.,,choices,race_mom_,
Sleep Questionnaires/Sleep Habits,intake_main,slp4wkday_mom_int,Average hours of sleep per night on weekdays or workdays during the last 4 weeks of pregnancy - Mother,"Thinking back on the LAST 4 WEEKS of your pregnancy, about how many hours of sleep per night did you usually get on WEEKDAYS or WORKDAYS?",,numeric,,hours
Sleep Questionnaires/Sleep Habits,intake_main,slp4wknd_mom_int,Average hours of sleep per night on weekends or days off during the last 4 weeks of pregnancy - Mother,"Thinking back on the LAST 4 WEEKS of your pregnancy, about how many hours of sleep per night did you usually get on WEEKENDS or DAYS OFF?",,numeric,,hours
Sleep Questionnaires/Sleep Disordered Breathing,intake_main,slpapnea4w_mom_int,Frequecny stopped breathing during sleep in the last 4 weeks of pregnancy - Mother,"Thinking back on the LAST 4 WEEKS of your pregnancy, how often did you stop breathing during your sleep?",,choices,slpapnea4w_mom_int_,
Sleep Questionnaires/Sleep Disordered Breathing,intake_main,snorelast4wk_mom_int,Frequency snored in the last 4 weeks of pregnancy - Mother,"Thinking back on the LAST 4 WEEKS of your pregnancy, how often did you snore?",,choices,snorelast4wk_mom_int_,
Lifestyle and Behavioural Health,intake_main,soda_mom_int,"Average frequency of drinking regular sodas or soft drinks, including Manzanita, Penafiel, Coke, Pepsi, Dr. Pepper, or Mountain Dew, in the past 4 weeks (excluding diet sodas) - Mother","In the past 4 weeks, on average, how often did you drink any regular sodas or soft drinks, including Manzanita, Penafiel, Coke, Pepsi, Dr. Pepper, or Mountain Dew? Do not include diet sodas.",,choices,soda_mom_int_,
Lifestyle and Behavioural Health,intake_main,sweets_mom_int,"Average frequency of eating doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake in the past 4 weeks (excluding sugar-free items) - Mother","In the past 4 weeks, on average, how often did you eat doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake? Do not include sugar-free items.",,choices,sweets_mom_int_,
Lifestyle and Behavioural Health,intake_main,veg_mom_int,"Average frequency of eating vegetables (raw, cooked, canned, or frozen) in the past 4 weeks (e.g., green beans, carrots, corn, cabbage, broccoli) - Mother","In the past 4 weeks, on average, how often did you eat vegetables (raw, cooked, canned, or frozen)? Examples: green beans, carrots, corn, cabbage, broccoli",,choices,veg_mom_int_,
Lifestyle and Behavioural Health,intake_main,walking4wk_mom_int,Average hours per week spent walking in the last 4 weeks fo pregnancy - Mother,"Thinking back on the LAST 4 WEEKS of your pregnancy, on average, how many hours per week did you spend engaged in...  Walking (include walking for fun or exercise, walking to work or school)?   Conversion Notes: 10 mins=0.17, 20 mins=0.33, 25 mins=0.42, 3",,numeric,,hours
Lifestyle and Behavioural Health,intake_main,yogurt_mom_int,Average frequency of eating yogurt in the past 4 weeks - Mother,"In the past 4 weeks, on average, how often did you eat yogurt?",,choices,yogurt_mom_int_,
Anthropometry,mom_anthro,mom_bmi_v1,Mother BMI at visit 1,Mother BMI at visit 1,,numeric,,
Anthropometry,mom_anthro,mom_bmi_v2,Mother BMI at visit 2,Mother BMI at visit 2,,numeric,,
Anthropometry,mom_anthro,mom_bmi_v3,Mother BMI at visit 3,Mother BMI at visit 3,,numeric,,
Anthropometry,mom_anthro,mom_bmi_v4,Mother BMI at visit 4,Mother BMI at visit 4,,numeric,,
Anthropometry,mom_anthro,mom_height_v1,Mother height at visit 1,Mother height at visit 1,,numeric,,centimeters
Anthropometry,mom_anthro,mom_height_v2,Mother height at visit 2 (cm),Mother height at visit 2 (cm),,numeric,,centimeters
Anthropometry,mom_anthro,mom_height_v3,Mother height at visit 3 (cm),Mother height at visit 3 (cm),,numeric,,centimeters
Anthropometry,mom_anthro,mom_height_v4,Mother height at visit 4 (cm),Mother height at visit 4 (cm),,numeric,,centimeters
Anthropometry,mom_anthro,mom_weight_v1,Mother weight at visit 1,Mother weight at visit 1,,numeric,,kilograms
Anthropometry,mom_anthro,mom_weight_v2,Mother weight at visit 2,Mother weight at visit 2,,numeric,,kilograms
Anthropometry,mom_anthro,mom_weight_v3,Mother weight at visit 3 (kg),Mother weight at visit 3 (kg),,numeric,,kilograms
Anthropometry,mom_anthro,mom_weight_v4,Mother weight at visit 4 (kg),Mother weight at visit 4 (kg),,numeric,,kilograms
Anthropometry,mom_anthro,weight_source_v1,Weight Source at visit 1,,,text,,
Anthropometry,mom_anthro,weight_source_v2,Weight Source at visit 2,,,text,,
Anthropometry,mom_anthro,weight_source_v3,Weight Source at visit 3,,,text,,
Anthropometry,mom_anthro,weight_source_v4,Weight Source at visit 4,,,text,,
Lifestyle and Behavioural Health,v1_main,alcintakeday_mom_v1,"Average number of drinks consumed per day on the days you drank in the past 30 days (count a can or bottle of beer, a wine cooler or a glass of wine, champagne, or sherry, a shot of liquor or a mixed drink or cocktail)","On the days that you drank during the past 30 days, how many drinks did you usually have each day? )Count as a drink a can or bottle of beer; a wine cooler or a glass of wine, champagne, or sherry; a shot of liquor or a  mixed drink or cocktail).   Notes ",,choices,alcintakeday_mom_v1_,
Medical History,v1_main,babyantibiot_mom_v1,"Baby received oral, intravenous, topical, or intramuscular antibiotics since birth for any reason, including while in the hospital","Since birth, has your baby received oral, intravenous, topical or intramuscular antibiotics for any reason, including while in the hospital?",,choices,babyantibiot_mom_v1_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babyawknght_mom_v1,Duration of awake time when your baby wakes up during the night,"When your baby wakes up during the night, how many minutes is he/she usually awake?",,choices,babyawknght_mom_v1_,
Lifestyle and Behavioural Health,v1_main,babycries_mom_v1,"Level of crying since birth, in comparison with other babies of his/her age","Since birth, how much do you feel that your baby cries in comparison with other babies of his/her age?",,choices,babycries_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyfallaslp_mom_v1,Baby falls asleep most of the time,How does your baby fall asleep most of the time?,,choices,babyfallaslp_mom_v1_,
Lifestyle and Behavioural Health,v1_main,babyscream_mom_v1,"Baby ever had times when he/she appears to be in agony, screaming, drawing his/her legs up to his/her body, and can't be calmed","Has your baby ever had times when he/she appears to be in agony, screams, draws his/her legs up to his/her body, and can't be calmed?",,choices,babyscream_mom_v1_,
Lifestyle and Behavioural Health,v1_main,babyscreamify_mom_v1,"Frequency of the baby being in agony, screaming, drawing his/her legs up to his/her body, and can't be calmed","If Yes, has this happened often, sometimes, or only once?",,choices,babyscreamify_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babysharebd_mom_v1,Frequency of sharing a bed with your baby at night,How frequently do you share a bed with your baby at night?,,choices,babysharebd_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpcool_mom_v1,Room where your baby sleeps cool at night during the summer,Is the room where your baby sleeps cool at night (during the summer)?,,choices,babyslpcool_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpdark_mom_v1,Room where your baby sleeps dark during the night,Is the room where your baby sleeps dark during the night?,,choices,babyslpdark_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpquiet_mom_v1,Room where your baby sleeps quiet at night,Is the room where your baby sleeps quiet at night?,,choices,babyslpquiet_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpsafe_mom_v1,Feel that your baby is safe in his/her room at night,Do you feel that your baby is safe in his/her room at night?,,choices,babyslpsafe_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpstate_mom_v1,State of your baby when you put him/her into bed,In what state is your baby when you put him/her into bed?,,choices,babyslpstate_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,babyslpwarm_mom_v1,Room where your baby sleeps properly heated or warm enough at night during the winter,Is the room where your baby sleeps properly heated or warm enough at night (during the winter)?,,choices,babyslpwarm_mom_v1_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___1,Usually nurse baby or give baby a bottle to put the baby back to sleep after he/she awakens during the night,What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Nurse baby or give baby a bottle),,choices,babytoslp_mom_v1___1_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___2,Usually pick up and rock/hold baby to put the baby back to sleep after he/she awakens during the night,What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Pick up and rock/hold baby),,choices,babytoslp_mom_v1___2_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___3,Usually give baby a pacifier or favorite blanket or toy to put the baby back to sleep after he/she awakens during the night,What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Give baby a pacifier or favorite blanket or toy),,choices,babytoslp_mom_v1___3_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___4,Usually pat baby gently while letting baby stay in crib or bed to put the baby back to sleep after he/she awakens during the night,What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Pat baby gently while letting baby stay in crib or bed),,choices,babytoslp_mom_v1___4_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___5,"Usually check in on baby, but do not touch or pick up baby, in order to put the baby back to sleep after he/she awakens during the night","What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Check in on baby, but do not touch or pick up baby)",,choices,babytoslp_mom_v1___5_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___6,Usually let baby fall back asleep by himself/herself without checking in after he/she awakens during the night,What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Let baby fall back asleep by himself/herself without checking in),,choices,babytoslp_mom_v1___6_,
Sleep Questionnaires/Sleep Disturbance,v1_main,babytoslp_mom_v1___7,"Usually use other method, in order to put the baby back to sleep after he/she awakens during the night",What do you usually do to put your baby back to sleep after he/she awakens during the night? (please check ALL that apply)   (choice=Other),,choices,babytoslp_mom_v1___7_,
Sleep Questionnaires/Sleep Habits,v1_main,bedroutine_mom_v1,"Agreement level with the statement ""My baby has a bedtime routine""",How much do you agree with the following statement:   My baby has a bedtime routine,,choices,bedroutine_mom_v1_,
Sleep Questionnaires/Sleep Habits,v1_main,bedwbottle_mom_v1,"Frequency of putting your baby to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk (baby fell asleep while being fed)","During the past 2 weeks, how often was your baby put to bed with a bottle of formula, breast milk, juice, juice drink, or any other kind of milk?  (Note: Put to bed = baby fell asleep while being fed from a bottle, breast, etc)",,choices,bedwbottle_mom_v1_,
Anthropometry,v1_main,biofathht_cm_v1,Height of baby's biological father,How tall is your baby's biological father?,,numeric,,centimeters
Anthropometry,v1_main,biofathhtyn_mom_v1,Height of baby's biological father,Do you know how tall your baby's biological father is?,,choices,biofathhtyn_mom_v1_,
Anthropometry,v1_main,biofathwght_kg_v1,Weight of baby's biological father,About how much does your baby's biological father weigh?,,numeric,,kilograms
Anthropometry,v1_main,biofathwtyn_mom_v1,Weight of baby's biological father,Do you know about how much does your baby's biological father weighs?,,choices,biofathwtyn_mom_v1_,
Lifestyle and Behavioural Health,v1_main,caffne_mom_v1,Average frequency of drinking iced or hot coffee or tea containing caffeine in the last 4 weeks (do not include decaffeinated coffee or tea),"In the past 4 weeks, on average, how often did you drink iced or hot coffee or tea that contained caffeine? Do not include decaffeinated coffee or tea.",,choices,caffne_mom_v1_,
Lifestyle and Behavioural Health,v1_main,calmbaby_mom_v1,"Difficulty in calming the baby when he/she cries, since birth","Since birth, how hard is it to calm your baby when he/she cries?",,choices,calmbaby_mom_v1_,
General Health,v1_main,carpeting_mom_v1,Amount of carpeting in the home,Do you have wall-to-wall carpeting in your home?,,choices,carpeting_mom_v1_,
Lifestyle and Behavioural Health,v1_main,childcare_mom_v1,Baby spent time in childcare outside your home since birth,"Since birth, has your baby spent time in childcare outside your home?",,choices,childcare_mom_v1_,
Lifestyle and Behavioural Health,v1_main,childcareage_mom_v1,Age when baby started childcare,How old was he/she when s/he started there? (in months),,numeric,,months
Lifestyle and Behavioural Health,v1_main,childcaretime_mom_v1,Hours the baby spent in childcare in the last 7 days,"In the past 7 days, how many hours/week did your baby spend there?",,numeric,,hours
Lifestyle and Behavioural Health,v1_main,cigexpos_mom_v1,"Average hours per week baby has been exposed to cigarette smoke since birth (including time spent at home, in restaurants, and in day care)","Since your baby was born, on average, how many hours per week has your baby been exposed to cigarette smoke? (Please include time spent at home, in restaurants, and in day care.",,choices,cigexpos_mom_v1_,
General Health,v1_main,cockroach_mom_v1,Frequency seeing signs of cockroaches in the home over the last 12 months,Cockroaches,"How often in the last 12 months have you seen or were there signs of cockroaches or mice/rodents in your home? (This includes actually seeing pests and indications of pests such as feces and droppings, chewed packages, etc.)",choices,cockroach_mom_v1_,
Medical History,v1_main,coldsx_mom_v1,"Since birth, has the baby had cold symptoms, e.g., runny or stuffy nose or episodes of sneezing","Cold symptoms, e.g., runny or stuffy nose or episodes of sneezing",,choices,coldsx_mom_v1_,
Medical History,v1_main,colic_mom_v1,"Since birth, has the baby had colic",Colic,,choices,colic_mom_v1_,
Medical History,v1_main,cough_mom_v1,"Since birth, has the baby had a cough",Cough,,choices,cough_mom_v1_,
Demographics/Acculturation,v1_main,country_mom_v1,"Country of birth (excluding Puerto Rico, United States includes the 50 contiguous states)","In what country were you born? (United States includes the 50 contiguous states, do not include Puerto Rico)",,choices,country_mom_v1_,
Demographics/Acculturation,v1_main,countrymnths_mom_v1,Number of months lived in the United States - Mother,"In total, how many months have you lived in the United States?",,numeric,,months
Demographics/Acculturation,v1_main,countryothr_mom_v1,"If 'Other' country, please specify.","If 'Other' country, please specify.",,text,,
Demographics/Acculturation,v1_main,countryyrs_mom_v1,Number of years lived in the United States - Mother,"In total, how many years have you lived in the United States?",,numeric,,years
Lifestyle and Behavioural Health,v1_main,cryprob_mom_v1,"Level of problem caused by the baby crying, since birth - Mother","Since birth, how much do you feel that his/her crying has been a problem?",,choices,cryprob_mom_v1_,
Lifestyle and Behavioural Health,v1_main,currntsmoke_mom_v1,Currently smoking cigarettes - Mother,Do you currently smoke cigarettes?,,choices,currntsmoke_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr1_mom_v1,EPDS: I have blamed myself unnecessarily when things went wrong,I have blamed myself unnecessarily when things went wrong,In the past 7 days I have blamed myself unnecessarily when things went wrong<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr1_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr10r_mom_v1,EPDS: I have been anxious or worried for no good reason,I have been anxious or worried for no good reason,In the past 7 days I have been anxious or worried for no good reason<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr10r_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr2_mom_v1,EPDS: I have felt scared or panicky for no good reason,I have felt scared or panicky for no good reason,In the past 7 days I have felt scared or panicky for no good reason<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr2_mom_v1_,
General Health/Edinburgh Postnatal Depression Scale (EPDS),v1_main,depr3_mom_v1,EPDS: Things have been overwhelming me,Things have been overwhelming me,In the past 7 days Things have been overwhelming me<br><br>Item from the Edinburgh Postnatal Depression Scale (EPDS) [Schaper et al. (PMID: 7996526)](https://pubmed.ncbi.nlm.nih.gov/7996526/)<br><br>[Search for all EPDS variables within this dataset](https://sleepdata.org/datasets/shine/variables?search=epds),choices,depr3_mom_v1_,
